Name	Type	Category	Base Power	Accuracy	Priority	Description	Max PP	Makes Contact?	Level	Range	Natural Users	Flavor Text	Porting Status	Meta
Absorb	Grass	Special	20	20	0	Absorb deals damage and the user will recover 50% of the HP drained. If used on a Pokémon with the ability Liquid Ooze, the user instead loses the HP it would have otherwise gained. A Pokémon's HP may not go above its maximum.	25	No	1	Single Pokémon within 10m	52	A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.	OK	
Accelerock	Rock	Agility	40	20	1	Accelerock deals damage and has high priority.	20	Yes	1	Single adjacent Pokémon	2	The user smashes into the target at high speed. This move always goes first.	OK	Changed to Agility attack
Acid	Poison	Special	40	20	0	Acid deals damage and has a 10% chance (a d20 rolls 19 or 20) of lowering the target's Special Defense by one stage.	30	No	1	5m diameter circle within 10m	24	Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.	OK	Changed to AOE attack
Acid Armor	Poison	Status			0	Acid Armor raises the user's Defense by two stages.	20	No	32	Self	14	The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.	OK	
Acid Spray	Poison	Special	40	20	0	Acid Spray inflicts damage and lowers the target's Special Defense by two stages.	20	No	4	Single Pokémon within 10m	13	The user spits fluid that works to melt the target. This harshly lowers the target’s Sp. Def stat.	OK	
Acrobatics	Flying	Agility	55	20	0	Acrobatics deals damage, however, if the user is not holding an item, its power doubles to 110. If the user is holding a Flying Gem, it is consumed before the Pokémon attacks, so it receives both boosts and increases Acrobatics' power to 145. Once the Gem is consumed Acrobatics' power for the rest of the battle will be 110.	15	Yes	20	Single Pokémon within move range	6	The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.	OK	
Acupressure	Normal	Status			0	Acupressure raises a random stat - 1) Attack, 2) Defense, 3) Speed, 4) Special Attack, 5) Special Defense, or 6) Evasion - by two stages. Roll 1d6 to determine the stat. Acupressure is unlike other status moves in that it can be targeted at itself or an adjacent teammate. It cannot be used on an ally if they are behind a Substitute, but the user can apply Acupressure to itself if behind a Substitute.	30	No	52	Self or adjacent ally Pokémon	5	The user applies pressure to stress points, sharply boosting one of its or its allies’ stats.	OK	Removed chance to buff Accuracy so it would fit neatly on a d6
Aerial Ace	Flying	Agility	60	∞	0	Aerial Ace deals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage of Bounce, Dig, Dive, Fly, Shadow Force or Sky Drop.	20	Yes	14	Single Pokémon within move range	24	The user confounds the target with speed, then slashes. This attack never misses.	OK	Changed to Agility attack
Aeroblast	Flying	Special	100	19	0	Aeroblast deals damage and uses critical dice. Pokémon with the abilities Battle Armor or Shell Armor, or those under the effects of Lucky Chant, are protected against critical hits. This move can only be used once per battle.	5	No	54	Single Pokémon within 20m	1	A vortex of air is shot at the target to inflict damage. Critical hits land more easily.	OK	
After You	Normal	Status			0	After You grants the target a bonus turn immediately after it is used. It can be targeted at opponents or allies. Priority moves such as Quick Attack cannot be triggered in between the two turns.	15	No	12	Single Pokémon within view	18	The user helps the target and makes it use its move right after the user.	OK	Reinterpreted due to turn order rules. Potentially overpowered?
